"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"inevitable";"неизбежный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/509683.png'>";"ɪnˈevɪtəbl";"One of the main drivers for using of the Service Oriented Architecture (SOA) is to increase enterprise agility and minimize the impact of <b>inevitable</b> changes.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW5ldml0YWJsZQ==af785bf6.mp3]";"One of the main drivers for using of the Service Oriented Architecture (SOA) is to increase enterprise agility and minimize the impact of {{c1::inevitable}} changes.";;"Слова из интернета"
"fulfillment";"выполнение";"<img src='https://contentcdn.lingualeo.com/uploads/picture/970723.png'>";"fʊlfˈɪlmənt";"These rules are used to help the organization to better achieve goals, communicate among principals and agents, communicate between the organization and interested third parties, demonstrate <b>fulfillment</b> of legal obligations, operate more efficiently, auto";"[sound:https://audiocdn.lingualeo.com/v2/1/ZnVsZmlsbG1lbnQ=5114c9b6.mp3]";"These rules are used to help the organization to better achieve goals, communicate among principals and agents, communicate between the organization and interested third parties, demonstrate {{c1::fulfillment}} of legal obligations, operate more efficiently, auto";;"Слова из интернета"
"simultaneously";"одновременно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/279960.png'>";"ˌsaɪməlˈteɪniəsli";"To kickstart Uber, a marketplace platform, Uber’s co-founders needed to attract both drivers and riders <b>simultaneously</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/c2ltdWx0YW5lb3VzbHk=7f43520b.mp3]";"To kickstart Uber, a marketplace platform, Uber’s co-founders needed to attract both drivers and riders {{c1::simultaneously}}.";;"Слова из интернета"
"commonalities";"общность";;"kˈɒmənælɪtiz";"In this article we will outline <b>commonalities</b> and differences between business rules and business processes and present some guidelines on positioning business rules in SOA implementation and appropriate usage of each technology.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29tbW9uYWxpdGllcw==715ae28b.mp3]";"In this article we will outline {{c1::commonalities}} and differences between business rules and business processes and present some guidelines on positioning business rules in SOA implementation and appropriate usage of each technology.";;"Слова из интернета"
"no wonder";"неудивительно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1094632.png'>";"nou wˈʌndə";"So different and so new - <b>no wonder</b> you want to open it.";"[sound:https://audiocdn.lingualeo.com/v2/1/bm8gd29uZGVyb40dcc4c.mp3]";"So different and so new - {{c1::no wonder}} you want to open it.";;"Мой словарь"
"to outline";"намечать в общих чертах";"<img src='https://contentcdn.lingualeo.com/uploads/picture/150760.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gb3V0bGluZQ==e9934929.mp3]";;;"Мой словарь"
"thunk";"преобразователь";;"θˈʌŋk";"What’s a <b>thunk</b>?!";"[sound:https://audiocdn.lingualeo.com/v2/1/dGh1bms=624b9915.mp3]";"What’s a {{c1::thunk}}?!";;"Слова из интернета"
"lone";"одинокий";"<img src='https://contentcdn.lingualeo.com/uploads/picture/435633.png'>";"loʊn";"It's called an ""Iceberg"" class because there is usually a <b>lone</b> public method poking up, but the rest of the functionality is hidden underwater in the form of private methods.";"[sound:https://audiocdn.lingualeo.com/v2/1/bG9uZQ==35e5f3f7.mp3]";"It's called an ""Iceberg"" class because there is usually a {{c1::lone}} public method poking up, but the rest of the functionality is hidden underwater in the form of private methods.";;"Слова из интернета"
"hurts";"причиняет боль";"<img src='https://contentcdn.lingualeo.com/uploads/picture/578538.png'>";"hˈɜːts";"You really don't want this, because nothing <b>hurts</b> more than your test suite slowing you down.";"[sound:https://audiocdn.lingualeo.com/v2/1/aHVydHM=a92f8787.mp3]";"You really don't want this, because nothing {{c1::hurts}} more than your test suite slowing you down.";;"Слова из интернета"
"intricately";"затейливо";;"ˈɪntrɪkətli";"It turns out that 2) and 3) are somewhat <b>intricately</b> connected, so their example is similar, although I consider them separate reasons why you shouldn't test private methods.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW50cmljYXRlbHk=80e2128b.mp3]";"It turns out that 2) and 3) are somewhat {{c1::intricately}} connected, so their example is similar, although I consider them separate reasons why you shouldn't test private methods.";;"Слова из интернета"
"poke up";"высовываться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1016067.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/cG9rZSB1cA==37f17fd0.mp3]";;;"Мой словарь"
"flaky";"слоистый";;"flˈeɪːki";"Unlike end-to-end tests that rely on external components, unit tests are not <b>flaky</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/Zmxha3k=7274fa85.mp3]";"Unlike end-to-end tests that rely on external components, unit tests are not {{c1::flaky}}.";;"Слова из интернета"
"whilst";"В то время как. В то время как. в то время как, пока";;"waɪlst";"Now <b>whilst</b> Ruby does not support overloading methods, a similar level of functionality can still be achieved using simple conditionals.";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hpbHN0c9227662.mp3]";"Now {{c1::whilst}} Ruby does not support overloading methods, a similar level of functionality can still be achieved using simple conditionals.";;"Слова из интернета"
"regrettably";"к сожалению";;"rɪgrˈetəbli";"This is something I have <b>regrettably</b> noticed in many backend projects that I have worked on.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVncmV0dGFibHk=abbd7d48.mp3]";"This is something I have {{c1::regrettably}} noticed in many backend projects that I have worked on.";;"Слова из интернета"
"to spot";"заметить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/291155.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gc3BvdA==2a94f416.mp3]";;;"Мой словарь"
"a good number";"большое количество";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/YSBnb29kIG51bWJlcg==ae344173.mp3]";;;"Мой словарь"
"set out to";"намеревался, решил";"<img src='https://contentcdn.lingualeo.com/uploads/picture/210401.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/c2V0IG91dCB0bw==a9202014.mp3]";;;"Мой словарь"
"ramping up";"наращивать";;"rˈæmpɪŋ ʌp";"...to become CEO of that company  —  whereas I was just an adviser  —  and raising a round of venture capital and <b>ramping up</b> hiring.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmFtcGluZyB1cA==2317876b.mp3]";"...to become CEO of that company  —  whereas I was just an adviser  —  and raising a round of venture capital and {{c1::ramping up}} hiring.";;"Мой словарь"
"dissapointed";"разочарованный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/133345.png'>";;"While trying to use redux-actions with TypeScript I was <b>dissapointed</b> by it's ""unsoundness"" with static-typing (more info here).";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGlzc2Fwb2ludGVkc7c419ef.mp3]";"While trying to use redux-actions with TypeScript I was {{c1::dissapointed}} by it's ""unsoundness"" with static-typing (more info here).";;"Слова из интернета"
"afaict";"Насколько я могу сказать";;;"I imagine this is a consequence of #12033, but <b>AFAICT</b> affecting null was likely an unintentional side effect.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWZhaWN0ca0c54d6.mp3]";"I imagine this is a consequence of #12033, but {{c1::AFAICT}} affecting null was likely an unintentional side effect.";;"Слова из интернета"
"testimonials";"рекомендация";;"ˌtɛstəˈmoʊniəlz";"If you’re an accountant, you probably won’t put up a client’s P&L, but any kind of credential-like content you can add or <b>testimonials</b> - take a screenshot of a testimonial page, if you’ve got a website - adds proof";"[sound:https://audiocdn.lingualeo.com/v2/1/dGVzdGltb25pYWxz4ad3d94e.mp3]";"If you’re an accountant, you probably won’t put up a client’s P&L, but any kind of credential-like content you can add or {{c1::testimonials}} - take a screenshot of a testimonial page, if you’ve got a website - adds proof";;"Мой словарь"
"treated";"обращаться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/588957.png'>";"ˈtritəd";"Here xxx will be <b>treated</b> as a boolean, regardless of its type.";"[sound:https://audiocdn.lingualeo.com/v2/1/dHJlYXRlZA==86d07bb8.mp3]";"Here xxx will be {{c1::treated}} as a boolean, regardless of its type.";;"Слова из интернета"
"inbound";"входящий";;"ɪnˈbaʊnd";"The job will require you to perform actions on <b>inbound</b> traffic to ensure maximum value is achieved by converting, retaining and reactivating leads and traders";"[sound:https://audiocdn.lingualeo.com/v2/1/aW5ib3VuZA==05b47cf9.mp3]";"The job will require you to perform actions on {{c1::inbound}} traffic to ensure maximum value is achieved by converting, retaining and reactivating leads and traders";;"Мой словарь"
"virtue";"достоинство";"<img src='https://contentcdn.lingualeo.com/uploads/picture/315736.png'>";"ˈvɜrʧu";"It's your only <b>virtue</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/dmlydHVl66bc8902.mp3]";"It's your only {{c1::virtue}}.";;"Мой словарь"
"contrived";"надуманный";;"kəntrˈaɪvd";"We'll use a <b>contrived</b> example of a class that plays sound files, SoundPlayer, and a consumer class which uses that class, SoundPlayerConsumer.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29udHJpdmVkc5d2405b.mp3]";"We'll use a {{c1::contrived}} example of a class that plays sound files, SoundPlayer, and a consumer class which uses that class, SoundPlayerConsumer.";;"Слова из интернета"
"jerkily";"отрывисто";;"dʒˈɜːkɪli";"I noticed that some of my animations were running <b>jerkily</b> and general component updates were lagging when lots of actions were being dispatched in a small space of time (say 40 per second).";"[sound:https://audiocdn.lingualeo.com/v2/1/amVya2lseQ==896afe6f.mp3]";"I noticed that some of my animations were running {{c1::jerkily}} and general component updates were lagging when lots of actions were being dispatched in a small space of time (say 40 per second).";;"Слова из интернета"
"gutters";"канавка";"<img src='https://contentcdn.lingualeo.com/uploads/picture/237136.png'>";"gˈʌtəz";"Built-In <b>Gutters</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/Z3V0dGVycw==18d18eb8.mp3]";"Built-In {{c1::Gutters}}";;"Слова из интернета"
"will not cause";"не вызовет";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/d2lsbCBub3QgY2F1c2U=fcc8ae20.mp3]";;;"Мой словарь"
"Purposely";"намеренно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1860337.png'>";"pˈɜːpəsli";"If in any of the other 998 classes you are trying to define you <b>purposely</b> do not include a constructor, the base constructor will get called, making it pretty much a requirement to add a constructor on each derived class to avoid this functionality.";"[sound:https://audiocdn.lingualeo.com/v2/1/cHVycG9zZWx5c283cec2.mp3]";"If in any of the other 998 classes you are trying to define you {{c1::purposely}} do not include a constructor, the base constructor will get called, making it pretty much a requirement to add a constructor on each derived class to avoid this functionality.";;"Слова из интернета"
"crop up";"неожиданно обнаруживаться. возникать";;"krˈɒp ʌp";"Harry had been wondering when his name was going to <b>crop up</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y3JvcCB1cA==d2074798.mp3]";"Harry had been wondering when his name was going to {{c1::crop up}}.";;"Мой словарь"
"you have to remember";"вы должны помнить,";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/eW91IGhhdmUgdG8gcmVtZW1iZXI=9c14fa85.mp3]";;;"Мой словарь"
"As long as it is";"так долго, как это";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/QXMgbG9uZyBhcyBpdCBpcw==303ed5a3.mp3]";;;"Мой словарь"
"supply";"Доставлять";"<img src='https://contentcdn.lingualeo.com/uploads/picture/8337.png'>";"səˈplaɪ";"‘Never get high on your own <b>supply</b>’ – why social media bosses don’t use social media";"[sound:https://audiocdn.lingualeo.com/v2/1/c3VwcGx5589b95f7.mp3]";"‘Never get high on your own {{c1::supply}}’ – why social media bosses don’t use social media";;"Слова из интернета"
"admitted";"признался";;"ədˈmɪtəd";"Developers of platforms such as Facebook have <b>admitted</b> that they were designed to be addictive.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWRtaXR0ZWQ=4cb2374a.mp3]";"Developers of platforms such as Facebook have {{c1::admitted}} that they were designed to be addictive.";;"Слова из интернета"
"get high";"забалдеть, тащиться, напиться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/473361.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/Z2V0IGhpZ2g=b2d9885a.mp3]";;;"Мой словарь"
"go cold turkey";"завязать с ч-л, бросить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2485540.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/Z28gY29sZCB0dXJrZXk=bec3599c.mp3]";;;"Мой словарь"
"beak";"клюв";"<img src='https://contentcdn.lingualeo.com/uploads/picture/15123.png'>";"biːk";"Hold your <b>beak</b>, you old trollop!";"[sound:https://audiocdn.lingualeo.com/v2/1/YmVhaw==d8e4233f.mp3]";"Hold your {{c1::beak}}, you old trollop!";;"Мой словарь"
"honour";"честь";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3228679.png'>";"ˈɑnər";"But for that, you receive the highest <b>honour</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/aG9ub3Vy7fc352f4.mp3]";"But for that, you receive the highest {{c1::honour}}.";;"Мой словарь"
"whip";"хлыст";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3614616.png'>";"wɪp";"I'll take my riding crop, and i'll <b>whip</b> him!";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hpcA==d2a67bdd.mp3]";"I'll take my riding crop, and i'll {{c1::whip}} him!";;"Мой словарь"
"as opposed";"в отличие от";"<img src='https://contentcdn.lingualeo.com/uploads/picture/147623.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/YXMgb3Bwb3NlZA==66ff516b.mp3]";;;"Мой словарь"
"negotiate";"договариваться";;"nəˈgoʊʃiˌeɪt";"By default, the ""Late 2013"" and ""Mid-2014"" models <b>negotiate</b> a x2 PCIe connection, but in testing, OWC discovered that when a ""blade"" SSD from a Cylinder Mac Pro was installed in a ""Late 2013"" or ""Mid-2014"" model, it ""negotiates a x4 PCIe connection versus";"[sound:https://audiocdn.lingualeo.com/v2/1/bmVnb3RpYXRl8e5a00b3.mp3]";"By default, the ""Late 2013"" and ""Mid-2014"" models {{c1::negotiate}} a x2 PCIe connection, but in testing, OWC discovered that when a ""blade"" SSD from a Cylinder Mac Pro was installed in a ""Late 2013"" or ""Mid-2014"" model, it ""negotiates a x4 PCIe connection versus";;"Слова из интернета"
